Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Blake Snell\snellbl01,TBR,169.0,17.0,80%,7.5,21,5,.808,1.89,31,31,0,0,0,0,180.2,112,41,38,16,64,2,221,1,0,13,700,0.974,219
2,Justin Verlander\verlaju01,HOU,154.0,13.0,73%,6.2,16,9,.640,2.52,34,34,0,1,1,0,214.0,156,63,60,28,37,0,290,8,2,5,833,0.902,159
3,Corey Kluber\klubeco01,CLE,71.0,0.0,34%,5.9,20,7,.741,2.89,33,33,0,2,1,0,215.0,179,75,69,25,34,0,222,3,0,2,842,0.991,151
4,Chris Sale\salech01,BOS,59.0,0.0,28%,6.9,12,4,.750,2.11,27,27,0,0,0,0,158.0,102,39,37,11,34,0,237,14,0,4,617,0.861,207
5,Gerrit Cole\colege01,HOU,26.0,0.0,12%,5.3,15,5,.750,2.88,32,32,0,1,1,0,200.1,143,68,64,19,64,0,276,7,0,9,799,1.033,140
6,Trevor Bauer\bauertr01,CLE,13.0,0.0,6%,5.8,12,6,.667,2.21,28,27,1,0,0,1,175.1,134,51,43,9,57,2,221,9,0,12,717,1.089,198
8,Edwin Diaz\diazed04,SEA,4.0,0.0,2%,3.2,0,4,.000,1.96,73,0,65,0,0,57,73.1,41,17,16,5,17,0,124,6,1,3,280,0.791,208
9,Luis Severino\severlu01,NYY,1.0,0.0,0%,4.8,19,8,.704,3.39,32,32,0,1,1,0,191.1,173,76,72,19,46,0,220,5,0,8,780,1.145,129
